iso2,year,column,cases,sex,age
AD,1993,new_sp,15,,
AD,1994,new_sp,24,,
AD,1996,new_sp,8,,
AD,1997,new_sp,17,,
AD,1998,new_sp,1,,
AD,1999,new_sp,4,,
AD,2000,new_sp,1,,
AD,2001,new_sp,3,,
AD,2002,new_sp,2,,
AD,2003,new_sp,7,,
AD,2004,new_sp,3,,
AD,2005,new_sp,5,,
AD,2006,new_sp,8,,
AD,2007,new_sp,2,,
AD,2008,new_sp,3,,
AE,1999,new_sp,31,,
AE,2000,new_sp,73,,
AE,2001,new_sp,69,,
AE,2002,new_sp,57,,
AE,2003,new_sp,77,,
AE,2004,new_sp,57,,
AE,2005,new_sp,62,,
AE,2006,new_sp,52,,
AE,2007,new_sp,56,,
AE,2008,new_sp,50,,
AF,1997,new_sp,618,,
AF,1998,new_sp,1833,,
AF,1999,new_sp,1669,,
AF,2000,new_sp,2892,,
AF,2001,new_sp,4639,,
AF,2002,new_sp,6509,,
AF,2003,new_sp,6510,,
AF,2004,new_sp,8273,,
AF,2005,new_sp,9949,,
AF,2006,new_sp,12468,,
AF,2007,new_sp,13213,,
AF,2008,new_sp,13136,,
AG,1996,new_sp,2,,
AG,1999,new_sp,1,,
AG,2000,new_sp,3,,
AG,2001,new_sp,1,,
AG,2002,new_sp,2,,
AG,2003,new_sp,1,,
AG,2005,new_sp,6,,
AG,2006,new_sp,4,,
AG,2007,new_sp,2,,
AG,2008,new_sp,1,,
AI,1995,new_sp,0,,
AI,1997,new_sp,0,,
AI,2001,new_sp,0,,
AI,2002,new_sp,0,,
AI,2004,new_sp,0,,
AI,2006,new_sp,0,,
AI,2007,new_sp,0,,
AL,1994,new_sp,250,,
AL,1995,new_sp,139,,
AL,1996,new_sp,173,,
AL,1997,new_sp,241,,
AL,1998,new_sp,212,,
AL,1999,new_sp,168,,
AL,2000,new_sp,171,,
AL,2001,new_sp,171,,
AL,2002,new_sp,225,,
AL,2003,new_sp,211,,
AL,2004,new_sp,201,,
AL,2005,new_sp,196,,
AL,2006,new_sp,186,,
AL,2007,new_sp,165,,
AL,2008,new_sp,170,,
AM,1994,new_sp,319,,
AM,1995,new_sp,436,,
AM,1996,new_sp,327,,
AM,1997,new_sp,400,,
AM,1998,new_sp,475,,
AM,1999,new_sp,576,,
AM,2000,new_sp,621,,
AM,2001,new_sp,572,,
AM,2002,new_sp,511,,
AM,2003,new_sp,575,,
AM,2004,new_sp,602,,
AM,2005,new_sp,581,,
AM,2006,new_sp,580,,
AM,2007,new_sp,497,,
AM,2008,new_sp,487,,
AN,1996,new_sp,3,,
AN,1997,new_sp,5,,
AN,1998,new_sp,6,,
AN,1999,new_sp,2,,
AN,2000,new_sp,2,,
AN,2001,new_sp,7,,
AN,2002,new_sp,9,,
AN,2003,new_sp,4,,
AN,2004,new_sp,8,,
AN,2006,new_sp,5,,
AO,1993,new_sp,4874,,
AO,1994,new_sp,4337,,
AO,1995,new_sp,3804,,
AO,1996,new_sp,8016,,
AO,1997,new_sp,8246,,
AO,1998,new_sp,7333,,
AO,1999,new_sp,7379,,
AO,2000,new_sp,9053,,
AO,2001,new_sp,11923,,
AO,2002,new_sp,18087,,
AO,2003,new_sp,18971,,
AO,2004,new_sp,20301,,
AO,2005,new_sp,20410,,
AO,2006,new_sp,21499,,
AO,2007,new_sp,21422,,
AO,2008,new_sp,22562,,
AR,1993,new_sp,5937,,
AR,1994,new_sp,5696,,
AR,1995,new_sp,5698,,
AR,1996,new_sp,5787,,
AR,1997,new_sp,5307,,
AR,1998,new_sp,5186,,
AR,1999,new_sp,4830,,
AR,2000,new_sp,4749,,
AR,2001,new_sp,5595,,
AR,2002,new_sp,5498,,
AR,2003,new_sp,4961,,
AR,2004,new_sp,4760,,
AR,2005,new_sp,4709,,
AR,2006,new_sp,4834,,
AR,2007,new_sp,4985,,
AR,2008,new_sp,4758,,
AS,1993,new_sp,1,,
AS,1994,new_sp,4,,
AS,1996,new_sp,0,,
AS,1997,new_sp,6,,
AS,1998,new_sp,2,,
AS,1999,new_sp,3,,
AS,2000,new_sp,2,,
AS,2001,new_sp,2,,
AS,2002,new_sp,1,,
AS,2003,new_sp,2,,
AS,2004,new_sp,2,,
AS,2005,new_sp,3,,
AS,2006,new_sp,3,,
AS,2007,new_sp,0,,
AS,2008,new_sp,0,,
AT,1995,new_sp,467,,
AT,1996,new_sp,442,,
AT,1997,new_sp,434,,
AT,1998,new_sp,381,,
AT,1999,new_sp,323,,
AT,2000,new_sp,324,,
AT,2001,new_sp,262,,
AT,2002,new_sp,220,,
AT,2003,new_sp,269,,
AT,2004,new_sp,216,,
AT,2005,new_sp,234,,
AT,2006,new_sp,213,,
AT,2007,new_sp,189,,
AU,1993,new_sp,557,,
AU,1997,new_sp,226,,
AU,1998,new_sp,203,,
AU,1999,new_sp,285,,
AU,2000,new_sp,251,,
AU,2001,new_sp,228,,
AU,2002,new_sp,210,,
AU,2003,new_sp,113,,
AU,2004,new_sp,285,,
AU,2005,new_sp,241,,
AU,2006,new_sp,269,,
AU,2007,new_sp,281,,
AU,2008,new_sp,299,,
AZ,1993,new_sp,499,,
AZ,1994,new_sp,513,,
AZ,1995,new_sp,669,,
AZ,1996,new_sp,990,,
AZ,1997,new_sp,981,,
AZ,1998,new_sp,727,,
AZ,1999,new_sp,763,,
AZ,2000,new_sp,890,,
AZ,2001,new_sp,927,,
AZ,2002,new_sp,1661,,
AZ,2003,new_sp,1161,,
AZ,2004,new_sp,1472,,
AZ,2005,new_sp,1561,,
AZ,2006,new_sp,1454,,
AZ,2007,new_sp,1356,,
AZ,2008,new_sp,1409,,
BA,1995,new_sp,865,,
BA,1996,new_sp,927,,
BA,1997,new_sp,803,,
BA,1998,new_sp,640,,
BA,1999,new_sp,786,,
BA,2000,new_sp,759,,
BA,2001,new_sp,800,,
BA,2002,new_sp,526,,
BA,2003,new_sp,493,,
BA,2004,new_sp,889,,
BA,2005,new_sp,640,,
BA,2006,new_sp,562,,
BA,2007,new_sp,737,,
BA,2008,new_sp,509,,
BB,1995,new_sp,3,,
BB,1996,new_sp,3,,
BB,1997,new_sp,5,,
BB,1998,new_sp,4,,
BB,1999,new_sp,2,,
BB,2000,new_sp,3,,
BB,2001,new_sp,6,,
BB,2002,new_sp,5,,
BB,2004,new_sp,19,,
BB,2006,new_sp,4,,
BB,2007,new_sp,8,,
BB,2008,new_sp,1,,
BD,1993,new_sp,18993,,
BD,1994,new_sp,1710,,
BD,1995,new_sp,20524,,
BD,1996,new_sp,29674,,
BD,1997,new_sp,33117,,
BD,1998,new_sp,37737,,
BD,1999,new_sp,37821,,
BD,2000,new_sp,38484,,
BD,2001,new_sp,40777,,
BD,2002,new_sp,46811,,
BD,2003,new_sp,53618,,
BD,2004,new_sp,62694,,
BD,2005,new_sp,84848,,
BD,2006,new_sp,101967,,
BD,2007,new_sp,104296,,
BD,2008,new_sp,106373,,
BE,1993,new_sp,484,,
BE,1994,new_sp,427,,
BE,1995,new_sp,400,,
BE,1996,new_sp,364,,
BE,1997,new_sp,434,,
BE,1998,new_sp,418,,
BE,1999,new_sp,403,,
BE,2000,new_sp,409,,
BE,2001,new_sp,472,,
BE,2002,new_sp,419,,
BE,2003,new_sp,362,,
BE,2004,new_sp,391,,
BE,2005,new_sp,380,,
BE,2006,new_sp,343,,
BE,2007,new_sp,322,,
BE,2008,new_sp,311,,
BF,1994,new_sp,561,,
BF,1995,new_sp,1028,,
BF,1996,new_sp,1381,,
BF,1997,new_sp,1126,,
BF,1998,new_sp,1331,,
BF,1999,new_sp,1411,,
BF,2000,new_sp,1560,,
BF,2001,new_sp,1522,,
BF,2002,new_sp,1544,,
BF,2003,new_sp,1703,,
BF,2004,new_sp,1926,,
BF,2005,new_sp,2294,,
BF,2006,new_sp,2659,,
BF,2007,new_sp,2614,,
BF,2008,new_sp,2756,,
BG,1994,new_sp,3096,,
BG,1995,new_sp,1087,,
BG,1996,new_sp,903,,
BG,1997,new_sp,1037,,
BG,1998,new_sp,1325,,
BG,1999,new_sp,1697,,
BG,2000,new_sp,2524,,
BG,2001,new_sp,897,,
BG,2002,new_sp,1007,,
BG,2003,new_sp,1254,,
BG,2004,new_sp,1315,,
BG,2005,new_sp,1214,,
BG,2006,new_sp,1307,,
BG,2007,new_sp,1080,,
BG,2008,new_sp,1020,,
BH,1993,new_sp,82,,
BH,1995,new_sp,17,,
BH,1996,new_sp,31,,
BH,1997,new_sp,22,,
BH,1998,new_sp,25,,
BH,1999,new_sp,21,,
BH,2000,new_sp,23,,
BH,2001,new_sp,23,,
BH,2002,new_sp,17,,
BH,2003,new_sp,16,,
BH,2004,new_sp,69,,
BH,2005,new_sp,101,,
BH,2006,new_sp,98,,
